,pclass,survived,sex,age,sibsp,parch,ticket,fare,male,female
0,1,1,female,29.0,0,0,24160,211.3375,0,1
1,1,1,male,0.9167,1,2,113781,151.55,1,0
2,1,0,female,2.0,1,2,113781,151.55,0,1
3,1,0,male,30.0,1,2,113781,151.55,1,0
4,1,0,female,25.0,1,2,113781,151.55,0,1
5,1,1,male,48.0,0,0,19952,26.55,1,0
6,1,1,female,63.0,1,0,13502,77.9583,0,1
7,1,0,male,39.0,0,0,112050,0.0,1,0
8,1,1,female,53.0,2,0,11769,51.4792,0,1
9,1,0,male,71.0,0,0,PC 17609,49.5042,1,0
10,1,0,male,47.0,1,0,PC 17757,227.525,1,0
11,1,1,female,18.0,1,0,PC 17757,227.525,0,1
12,1,1,female,24.0,0,0,PC 17477,69.3,0,1
13,1,1,female,26.0,0,0,19877,78.85,0,1
14,1,1,male,80.0,0,0,27042,30.0,1,0
15,1,0,male,28.0,0,0,PC 17318,25.925,1,0
16,1,0,male,24.0,0,1,PC 17558,247.5208,1,0
17,1,1,female,50.0,0,1,PC 17558,247.5208,0,1
18,1,1,female,32.0,0,0,11813,76.2917,0,1
19,1,0,male,36.0,0,0,13050,75.2417,1,0
20,1,1,male,37.0,1,1,11751,52.5542,1,0
21,1,1,female,47.0,1,1,11751,52.5542,0,1
22,1,1,male,26.0,0,0,111369,30.0,1,0
23,1,1,female,42.0,0,0,PC 17757,227.525,0,1
24,1,1,female,29.0,0,0,PC 17483,221.7792,0,1
25,1,0,male,25.0,0,0,13905,26.0,1,0
26,1,1,male,25.0,1,0,11967,91.0792,1,0
27,1,1,female,19.0,1,0,11967,91.0792,0,1
28,1,1,female,35.0,0,0,PC 17760,135.6333,0,1
29,1,1,male,28.0,0,0,110564,26.55,1,0
30,1,0,male,45.0,0,0,113784,35.5,1,0
31,1,1,male,40.0,0,0,112277,31.0,1,0
32,1,1,female,30.0,0,0,36928,164.8667,0,1
33,1,1,female,58.0,0,0,113783,26.55,0,1
34,1,0,male,42.0,0,0,110489,26.55,1,0
35,1,1,female,45.0,0,0,PC 17608,262.375,0,1
36,1,1,female,22.0,0,1,113505,55.0,0,1
37,1,1,male,28.0,0,0,111427,26.55,1,0
38,1,0,male,41.0,0,0,113054,30.5,1,0
39,1,0,male,48.0,0,0,PC 17591,50.4958,1,0
40,1,0,male,28.0,0,0,112379,39.6,1,0
41,1,1,female,44.0,0,0,PC 17610,27.7208,0,1
42,1,1,female,59.0,2,0,11769,51.4792,0,1
